aufhalten, hält auf, hielt auf, hat aufgehalten;impedir, evitar,parar,obstruir,molestar,no dejar trabajar,mantener abierto;VERB;"1. Hier können Sie sich aufhalten, bis Sie an der Reihe sind. 2. Darf ich Ihnen die Tür aufhalten? 3. Entschuldigen Sie die Verspätung,
ich wurde aufgehalten."
aufheben, hebt auf, hob auf, hat aufgehoben;guardar,derogar, anular,revocar,levantar,recoger de,compensar,neutralizar;VERB;"1. Lassen Sie die Papiere nur auf dem
Boden liegen, ich hebe sie schon auf. 2. Die Quittung müssen Sie gut aufheben."
aufhören, hört auf,        1. hörte auf, hat aufgehört;terminar,acabar;VERB;1. Es hört nicht auf zu schneien. 2. Wann hört ihr mit der Arbeit auf? 3. Hier hört die Hauptstraße auf.
auflösen, löst auf, löste auf, hat aufgelöst;disolver, diluir,reducir, descomponer,liquidar,disolver,anular, invalidar,deshacer,dispersar,cerrar, cancelar,resolver,clarificar;VERB;Die Tablette bitte in Wasser auflösen.
aufnehmen, nimmt auf,        1. nahm auf, hat aufgenommen;comenzar,iniciar,entablar,retomar,absorber,ingerir,asimilar,pedir,recoger de,grabar en,acoger,hospedar,ingresar en,admitir en,limpiar;VERB;"1. Wir haben Aneta in unseren Verein aufgenommen. 2. Ich habe den Film im Urlaub
aufgenommen."
aufpassen, passt auf,        1. passte auf, hat aufgepasst;tener cuidado,cuidar;VERB;"1. Tut mir leid. Da habe ich wohl nicht
aufgepasst. 2. Ich muss zu Hause bleiben und auf
die Kinder aufpassen."
aufräumen, räumt auf, räumte auf, hat aufgeräumt;ordenar,arreglar, ordenar;VERB;Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.
aufregen, regt auf,        1. regte auf, hat aufgeregt;alterar,excitar,irritar,exaltar,exasperar;VERB;"1. Es regt mich auf, dass ich schon wieder überstunden machen muss. 2. Ruf gleich an, wenn du angekommen
bist, sonst regt sich deine Mutter
wieder auf. 3. Ganz ruhig! Bitte regen Sie sich
nicht auf. 4. Die Musikgruppe zu erleben war sehr aufregend."
auf sein, ist auf,        1. war auf, ist auf gewesen;"";VERB;Ich bin schon seit zwei Stunden auf. Du brauchst nicht zu klingeln, die Tür ist auf.
aufstehen, steht auf,        1. stand auf, ist aufgestanden;ponerse de pie,levantarse,estar abierto;VERB;"1. Ich stehe jeden Morgen um sechs Uhr auf. 2. Sie brauchen nicht aufzustehen. Sie
können sitzen bleiben. 3. Solange Sie Fieber haben, dürfen Sie
auf keinen Fall aufstehen."
auftreten, tritt auf, trat auf, ist aufgetreten;pisar,presentarse,actuar,comportarse,surgir, aparecer,abrir a patadas;VERB;Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.
aufwachen, wacht auf, wachte auf, ist aufgewacht;despertar(se) de;VERB;Von dem Lärm bin ich aufgewacht.
ausdrucken, druckt aus, druckte aus, hat ausgedruckt;imprimir;VERB;Kann ich das auf deinem Drucker ausdrucken?
ausfallen, fällt aus, fiel aus, ist ausgefallen;caerse,no tener lugar, suspenderse,estar de baja,fallar,resultar, quedar;VERB;1. Nächste Woche fällt der Kurs aus. 2. Mir fallen die Haare aus.
ausfüllen, füllt aus, füllte aus, hat ausgefüllt;llenar,(re)llenar, cumplimentar,llenar, satisfacer;VERB;Füllen Sie bitte dieses Formular aus!
ausgeben, gibt aus, gab aus, hat ausgegeben;distribuir,expender,imprimir,emitir,dar,gastar en;VERB;Carola gibt viel Geld für ihr Hobby aus.
ausgehen, geht aus, ging aus, ist ausgegangen;salir,remoler Chil, Peru,salir (a divertirse),apagarse,caerse,salir de,partir de,basarse en,salir, acabar,acabarse;VERB;1. Plötzlich ist das Licht ausgegangen. 2. Gehen wir heute Abend aus? 3. Wie ist das Spiel ausgegangen?
ausmachen, macht aus, machte aus, hat ausgemacht;apagar,concertar,quedar en,resolver, arreglar,divisar, distinguir,representar, constituir,elevarse a,importar,cerrar;VERB;1. Machen Sie bitte das Licht aus!2. Wir hatten doch ausgemacht, dass du die Getränke besorgst. 3. Haben Sie einen Termin ausgemacht? 4. Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus.
ausrichten, richtet aus, richtete aus, hat ausgerichtet;dar,ajustar a,adaptar a,alinear,conseguir, lograr,organizar,hablar mal de,vilipendiar,pagar;VERB;Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?
ausschließen, schließt aus, schloss aus, hat ausgeschlossen;descartar,excluir,expulsar de;VERB;So viel kann ich nicht bezahlen. Das ist völlig ausgeschlossen.
aussehen, sieht aus, sah aus, hat ausgesehen;parecer,tener aspecto de;VERB;1. Sie sehen wieder besser aus. Sind Sie wieder gesund? 2. Es sieht so aus, als ob es bald regnet.
aus sein, ist aus, war aus, ist aus gewesen;"";VERB;1. Ich glaube, die Heizung ist aus. 2. Samstags ist die Schule schon um elf Uhr aus.
aussprechen, spricht aus, sprach aus, hat ausgesprochen;terminar (la frase),pronunciar,expresar,notificar, disponer;VERB;Wie spricht man dieses Wort aus?
ausstellen, stellt aus, stellte aus, hat ausgestellt;exhibir,exponer,expedir,extender,apostar,inclinar hacia afuera,bascular hacia afuera,coser con pata de elefante,coser con corte evasé,apagar,participar en una feria;VERB;1. Im Schaufenster sind Winterschuhe ausgestellt. 2. Sie müssen sich einen neuen Führerschein ausstellen lassen.
(sich etwas) aussuchen, sucht aus, suchte aus, hat ausgesucht;"";VERB;Such dir etwas Schönes aus! Ich lade dich ein
auswählen, wählt aus, wählte aus, hat ausgewählt;elegir de de entre,escoger de de entre,seleccionar;VERB;Für die Aufgabe können Sie unter drei Themen auswählen.
ausziehen, zieht aus, zogaus,hat/istausgezogen;mudarse,cambiar(se) de casa,salir a/de,quitar,desnudar,quitar la ropa a,alargar,sacar,arrancar,extraer,estirar,(ex)tender,(re)pasar,extractar de;VERB;1. Willst du den Mantel nicht ausziehen? 2.DerArztmöchteSieuntersuchen. Bitte ziehen Sie sich aus. 3. Müllers sind schon vor vier Wochen ausgezogen.
backen, bäckt / backt, backte, hat gebacken;cocer,hacer (en el horno),hornear;VERB;Wenn du kommst, backe ich einen Kuchen.
baden, badet, badete, hat gebadet;bañarse,tomar un baño,bañar;VERB;1. Wenn du baden möchtest: Das Bade- zimmer ist dort hinten links. 
S-Bahn, -en;tren m rápido (urbano),≈ suburbano m;VERB;Die S-Bahn ist schneller als die Straßenbahn.
bauen, baut,  baute, hat gebaut;construir, edificar,hacer,tener, originar,confiar en,contar con;VERB;1. Mein Nachbar hat ein Haus gebaut.2. Mein Vater hat mir ein Regal gebaut.
beachten, beachtet, beachtete, hat beachtet;atender a,prestar atención a,seguir,cumplir con,tener en cuenta, considerar,fijarse en,observar;VERB;Bitte beachten Sie die Ansagen am Bahnsteig.
beantragen, beantragt, beantragte, hat beantragt;solicitar, pedir;VERB;Hast du schon einen neuen Pass beantragt?
beantworten, beantwortet, beantwortete, hat beantwortet;contestar, responder;VERB;Sie haben meine Frage leider nicht beantwortet.
bedanken sich, bedankt, bedankte, hat bedankt;"";VERB;Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.
bedeuten, bedeutet, bedeutete, hat bedeutet;significar, querer decir,significar, importar,dar a entender;VERB;"1. Was bedeutet dieses Wort? 2. Ich bin krank. Das bedeutet, dass ich
heute nicht arbeiten kann."
bedienen, bedient, bediente, hat bedient;atender,servir,manejar,saldar;VERB;1. Werden Sie schon bedient? 2. Die Kaffeemaschine ist ganz leicht zu bedienen.
beeilen sich, beeilt sich, beeilte sich, hat sich beeilt;"";VERB;Wir müssen uns beeilen. Sonst verpassen wir den Zug.
beenden, beendet, beendete, hat beendet;acabar con,terminar con,terminar,finalizar,cerrar;VERB;Du musst deine Ausbildung auf jeden Fall beenden.
befinden sich, befindet sich, befandsich,hatsichbefunden;"";VERB;Das Bord-Bistro befindet sich in der Mitte des Zuges.
begegnen, begegnet, begegnete, ist begegnet;suceder, pasar,tratar;VERB;1. Sind wir uns nicht schon mal irgend- wann begegnet?2. Ich bin ihm nie wieder begegnet.
beginnen, beginnt, begann, hat begonnen;comenzar a,empezar a,comenzar,empezar;VERB;In zwei Wochen beginnen die Sommerferien.
begleiten, begleitet, begleitete, hat begleitet;acompañar;VERB;Ich begleite dich ein Stück.
begründen, begründet, begründete, hat begründet;justificar,basar en,fundar;VERB;Bitte begründen Sie Ihren Antrag.
begrüßen, begrüßt, begrüßte, hat begrüßt;saludar, dar la bienvenida,celebrar,consultar;VERB;Ich glaube, ich habe Sie noch gar nicht begrüßt.
behalten, behält, behielt, hat behalten;conservar, guardar,mantener, conservar,guardar,retener (en la cabeza),quedarse con fam,quedarse con,dejar puesto;VERB;Darf ich den Prospekt behalten?
behandeln, behandelt, behandelte, hat behandelt;tratar con,tratar,curar;VERB;1. Welcher Arzt hat Sie bis jetzt behandelt?2. So lasse ich mich von Ihnen nicht länger behandeln.
behindern, behindert, behinderte, hat behindert, behindert sein;molestar, estorbar en,impedir, dificultar,dificultar,entorpecer, impedir;VERB;1. Bitte parken Sie so, dass Sie niemanden behindern. 2. Seit dem Unfall ist das Kind unseres Vermieters behindert.
bekannt geben, gibt bekannt, gab bekannt, hat bekannt gegeben;"";VERB;Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.
bekommen, bekommt, bekam, hat bekommen;recibir,obtener, conseguir,coger, alcanzar,pillar argot,contraer,desarrollar,echar, salir,estar atendido;VERB;1. Haben Sie meinen Brief bekommen? 2. Ich bekomme jeden Tag eine Spritze. 3. Was bekommen Sie? – 5 kg Kartoffeln. 4. Wir haben Besuch bekommen.5. Laut Wetterbericht bekommen wir Regen.6. Plötzlich bekam ich starke Kopfschmerzen.
beleidigen, beleidigt, beleidigte, hat beleidigt;ofender, insultar;VERB;1. Ich wollte Sie nicht beleidigen. 2. Sei doch nicht immer gleich beleidigt.
bemerken, bemerkt, bemerkte, hat bemerkt;notar,darse cuenta de,decir,observar,mencionar,comentar;VERB;Ich habe von dem Einbruch gar nichts bemerkt.
benötigen, benötigt, benötigte, hat benötigt;necesitar;VERB;Sagen Sie Bescheid, wenn Sie noch etwas benötigen.
benutzen, benutzt, benutzte, hat benutzt;usar, utilizar,emplear,tomar,aprovechar;VERB;Benutzen Sie bitte die öffentlichen Verkehrsmittel.
beobachten, beobachtet, beobachtete, hat beobachtet;observar, contemplar,vigilar,observar en,notar en;VERB;Wer hat den Unfall beobachtet?
beraten, berät, beriet, hat beraten;aconsejar, asesorar,deliberar sobre,discutir;VERB;Sie sollten sich von einem Fachmann beraten lassen.
berechnen, berechnet, berechnete, hat berechnet;calcular,calcular, evaluar,cobrar por;VERB;Den Transport müssen wir Ihnen extra berechnen.
berichten, berichtet, berichtete, hat berichtet;informar sobre/de,narrar, contar de,comunicar, informar;VERB;Alle Zeitungen haben über den Unfall berichtet.
beruhigen, beruhigt, beruhigte, hat beruhigt;tranquilizar, calmar;VERB;1. Beruhigen Sie sich bitte. Es ist alles in Ordnung. 2. Ich kann Sie beruhigen. Ihrem Sohn ist nichts passiert.
beschädigen, beschädigt, beschädigte, hat beschädigt;deteriorar, dañar;VERB;Bitte machen Sie eine Liste darüber, was die Einbrecher beschädigt haben.
beschäftigen, beschäftigt,beschäftigte, hat beschäftigt;emplear, dar trabajo,ocupar en/con,entretener con,preocupar;VERB;1. Womit haben Sie sich bei Ihrer Arbeit beschäftigt? 2. Seit wann sind Sie bei dieser Firma beschäftigt?
beschließen, beschließt, beschloss, hat beschlossen;decidir,acordar,terminar, finalizar;VERB;Wir haben beschlossen, uns ein kleineres Auto zu kaufen.
beschränken, beschränkt, beschränkte, hat beschränkt;restringir a,limitar a;VERB;Bitte beschränken Sie Ihren Wasserverbrauch auf das Nötigste.
beschreiben, beschreibt, beschrieb, hat beschrieben;describir,describir, ejecutar,escribir en;VERB;Kannst du mir den Weg zum Flughafen beschreiben?
beschweren sich, beschwert sich, beschwerte sich, hat sich beschwert;"";VERB;Wo können wir uns beschweren?
besetzen, besetzt, besetzte, hat besetzt;ocupar,ocupar fam,okupar argot,cubrir con,repartir (los papeles),(re)cubrir de;VERB;1. Dieser Platz ist besetzt. 2. Ich habe drei Plätze besetzt. 3. Ich habe jetzt schon dreimal dort angerufen. Es ist immer besetzt.
besichtigen, besichtigt, besichtigte, hat besichtigt;examinar,pasar revista,visitar,hacer una visita;VERB;Im Urlaub haben wir Schloss Schönbrunn besichtigt.
besitzen, besitzt, besaß, hat besessen;poseer,tener;VERB;Besitzt Ihre Frau ein eigenes Auto?
besorgen, besorgt, besorgte, hat besorgt;proporcionar, conseguir,comprar,despachar, ultimar;VERB;1. Soll ich die Eintrittskarten besorgen? 2. Ich besorge uns schnell einen Kaffee.
besprechen, bespricht, besprach, hat besprochen;hablar de,discutir,reseñar,grabar;VERB;Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen.
bestätigen, bestätigt, bestätigte, hat bestätigt;probar,confirmar,certificar,ratificar,revalidar;VERB;1. Lassen Sie sich den Termin schriftlich bestätigen.2. Ich kann bestätigen, dass mein Sohn den ganzen Vormittag zu Hause war.
bestellen, bestellt, bestellte, hat bestellt;pedir, encargar,hacer venir, llamar,citar,reservar,labrar, cultivar,nombrar,discernir;VERB;1. Wir haben Pizza bestellt. 2. Ich bin für 16 Uhr bestellt. 3. Ich soll Ihnen Grüße von Frau Meier bestellen.
bestrafen, bestraft, bestrafte, hat bestraft;castigar con por,imponer una multa;VERB;Zu schnelles Fahren wird streng bestraft.
besuchen, besucht, besuchte, hat besucht;visitar,ir a ver,ir a conocer, visitar,asistir a;VERB;1. Besuchen Sie uns doch mal. 2. Sie müssen noch einen Kurs besuchen.
beteiligen sich, beteiligt sich, beteiligte sich, hat sich beteiligt;"";VERB;Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?
betreuen, betreut, betreute, hat betreut;atender a,ocuparse de,asistir a,ser responsable de,acompañar,llevar,asesorar;VERB;Wer betreut bei Ihnen die Kinder?
bewegen, bewegt, bewegte, hat bewegt;inducir a,mover a,mover,poner en marcha,conmover, emocionar;VERB;Lesen Sie sich alles genau durch, bevor Sie unterschreiben.
beweisen, beweist, bewies, hat bewiesen;probar,demostrar,presentar pruebas de;VERB;Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.
bewerben sich, bewirbt sich, bewarb sich, hat sich beworben;"";VERB;Haben Sie dafür Beweise?
bezahlen, bezahlt, bezahlte, hat bezahlt;pagar;VERB;Ich kenne die anderen Hausbewohner nicht.
bieten, bietet, bot, hat geboten;ofrecer, presentar,ofrecer para,pujar, dar;VERB;1. Er hat mir für den alten Wagen noch 800 Euro geboten. 2. Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen.
bitten, bittet, bat, hat gebeten;pedir, rogar,hacer pasar,invitar,suplicar;VERB;Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?
bleiben, bleibt, blieb, ist geblieben;quedarse,mantener,perseverar,seguir, continuar;VERB;unser Geschäft geschlossen. 3. Bleiben Sie bitte am Apparat. 4. Bleiben Sie doch sitzen! 5. Wir bleiben nur bis morgen.
blühen, blüht, blühte, hat geblüht;florecer,prosperar, florecer,suceder, pasar;VERB;Die Bäume blühen schon. Es ist Frühling.
bluten, blutet, blutete, hat geblutet;sangrar;VERB;1. Ich habe mich verletzt. Es blutet. 2. Du blutest ja! Hast du dich geschnitten?
braten, brät, briet, hat gebraten;asar,freír;VERB;1. Das Fleisch muss zehn Minuten braten. 2. Heute gibt’s gebratenen Fisch.
brauchen, braucht, brauchte, hat gebraucht;necesitar, precisar,llevar,utilizar, emplear,gastar, consumir,hacer falta +inf que +subj,ser necesario +inf que +subj;VERB;1. Ich brauche ein Auto. 2. Brauchst du die Zeitung noch? 3. Meine Großmutter ist krank. Sie braucht viel Ruhe. 4 Ich habe für die Renovierung eine Woche gebraucht. 5. Sie brauchen morgen nicht zu kommen. Ich schaffe das alleine.
brechen, bricht, brach, hat gebrochen;romperse, quebrarse,romper con,vomitar,romper, partir,romper,batir,violar, quebrantar,infringir,boicotear,refractar,arrancar;VERB;1. Der Bleistift ist durchgebrochen. 2. Ich habe mir im Urlaub das Bein gebrochen.
